Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Facundo Diaz Acosta,ARG,Hard,6,96,1657,241,1,5,0.16667,0,0.45609,0.41667,0.23529,2,1,0.5,1,0,0,0.71795,0.11538,114,1530,0.64875,0.64793,0.45355,0.57965,15,0.02879,0.19231,0.05566,0.37179,0.51724,0.66667,0.57692,55,1543,0.24324,0.44865,0.32225,0.08732,0.53846,0.46154,0.25
Gregoire Barrere,FRA,Clay,6,97,1657,88,3,3,0.5,0,0.48057,0.48101,0.5,2,1,0.5,2,1,0.5,0.6625,0.29487,95,1540,0.60037,0.62883,0.46083,0.56169,17,0.03131,0.2125,0.02947,0.2,1.0625,0.85,0.60294,163,1502,0.32219,0.52459,0.39453,0.05859,0.38462,0.70513,0.41818
Gregoire Barrere,FRA,Grass,9,97,1657,52,5,4,0.55556,0,0.49386,0.49213,0.5,3,2,0.66667,7,4,0.57143,0.832,0.16279,95,1540,0.62544,0.69776,0.54829,0.64177,44,0.05134,0.352,0.0245,0.168,2.09524,0.584,0.71233,163,1502,0.26789,0.4822,0.34543,0.11593,0.76744,0.51163,0.31818
Gregoire Barrere,FRA,Hard,16,97,1657,174,5,11,0.3125,0,0.49172,0.4902,0.38095,7,2,0.28571,9,2,0.22222,0.7931,0.19024,95,1540,0.61432,0.7193,0.51697,0.64126,95,0.07313,0.46798,0.02771,0.17734,2.63889,0.55172,0.625,163,1502,0.26269,0.46471,0.34206,0.0755,0.47805,0.45366,0.41935
David Goffin,BEL,Clay,5,98,1657,69,1,4,0.2,0,0.4828,0.45038,0.35714,2,0,0,0,0,,0.73438,0.1791,233,1482,0.55198,0.70852,0.48619,0.60891,18,0.04455,0.28125,0.03465,0.21875,1.28571,0.57812,0.54054,21,1568,0.26749,0.49102,0.35854,0.07073,0.43284,0.49254,0.36364
David Goffin,BEL,Hard,7,98,1657,80,2,5,0.28571,0,0.4744,0.45294,0.33333,2,1,0.5,1,0,0,0.6988,0.21839,233,1482,0.60187,0.67081,0.47887,0.59439,41,0.07664,0.49398,0.02243,0.14458,3.41667,0.6988,0.56897,21,1568,0.29483,0.44444,0.346,0.09,0.51724,0.52874,0.41304
Aleksandar Kovacevic,USA,Clay,6,99,1654,213,1,5,0.16667,0,0.48056,0.47312,0.33333,5,1,0.2,6,1,0.16667,0.83696,0.11702,38,1599,0.58525,0.7591,0.48617,0.6459,52,0.08525,0.56522,0.02787,0.18478,3.05882,0.5,0.67391,264,1465,0.24737,0.42466,0.31219,0.08514,0.54255,0.41489,0.28205
Aleksandar Kovacevic,USA,Hard,16,99,1654,81,6,10,0.375,0,0.4854,0.47816,0.36585,5,4,0.8,10,3,0.3,0.81068,0.14563,38,1599,0.60062,0.76031,0.48062,0.64861,144,0.11146,0.69903,0.04721,0.29612,2.36066,0.49515,0.61765,264,1465,0.24742,0.43313,0.32028,0.10885,0.67476,0.43204,0.33708
John Isner,USA,Grass,5,101,1640,22,3,2,0.6,0,0.49942,0.5,0.5,2,2,1,2,1,0.5,0.85714,0.13235,3,1742,0.64953,0.7554,0.50667,0.66822,84,0.19626,1.2,0.03972,0.24286,4.94118,0.32857,0.56522,388,1323,0.2619,0.48227,0.33333,0.07356,0.47059,0.5,0.26471
John Isner,USA,Hard,6,101,1640,75,2,4,0.33333,0,0.50401,0.52747,0.47059,2,0,0,8,2,0.25,0.94624,0.08989,3,1742,0.67942,0.78016,0.59091,0.71949,126,0.22951,1.35484,0.03097,0.1828,7.41176,0.22581,0.7619,388,1323,0.22252,0.43719,0.2972,0.07168,0.46067,0.39326,0.22857
